# TIME                    COUNT_RATE              COUNT_RATE_ERR
  5.126129946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126131946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126132946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126133946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126134946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126135946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126136946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126137946672800E+08   0.000000000000000E+00   0.000000000000000E+00
