

TIME                    COUNT_RATE              COUNT_RATE_ERR
  5.126129901672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129911672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129921672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129931672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129941672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129951672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129961672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129971672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129981672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126129991672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130001672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130011672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130021672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130031672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130041672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130051672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130061672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130071672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130081672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130091672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130101672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130111672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130121672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130131672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130141672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130151672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130161672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130171672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130181672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130191672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130201672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130211672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130221672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130231672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130241672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130251672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130261672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130271672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130281672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130291672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130301672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130311672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130321672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130331672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130341672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130351672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130361672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130371672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130381672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130391672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130401672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130411672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130421672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130431672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130441672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130451672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130461672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130471672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130481672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130491672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130501672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126130511672800E+08   0.000000000000000E+00   0.000000000000000E+00
