TIME_SINCE_START	COUNT_RATE	COUNT_RATE_ERR
905	3.837211328976035E+01	2.616956405713629E+00
915	3.242666666666667E+01	1.804267997426088E+00
925	3.031843137254902E+01	1.744629679383368E+00
935	3.222588235294118E+01	1.798673354507938E+00
945	3.724549019607843E+01	1.933689503047100E+00
955	3.122196078431373E+01	1.770434970458192E+00
965	3.453490196078431E+01	1.861997125370118E+00
975	3.202509803921568E+01	1.793061255478388E+00
985	3.513725490196079E+01	1.878165276498292E+00
995	3.222588235294118E+01	1.798673354507938E+00
1005	3.373176470588236E+01	1.840218632013639E+00
1015	3.202509803921568E+01	1.793061255478388E+00
1025	3.232627450980392E+01	1.801472847804372E+00
1035	3.343058823529412E+01	1.831984950301581E+00
1045	3.272784313725490E+01	1.812627585030806E+00
1055	3.072000000000000E+01	1.756145511859290E+00
1065	3.072000000000000E+01	1.756145511859290E+00
1075	3.192470588235294E+01	1.790248608640201E+00
1085	3.142274509803921E+01	1.776118564437748E+00
1095	3.282823529411765E+01	1.815405559971150E+00
1105	3.262745098039215E+01	1.809845346115257E+00
1115	2.851137254901961E+01	1.691838699555410E+00
1125	3.724549019607843E+01	1.933689503047100E+00
1135	3.312941176470589E+01	1.823714095644607E+00
1145	3.102117647058823E+01	1.764733071685968E+00
1155	3.403294117647059E+01	1.848415637536323E+00
1165	3.302901960784314E+01	1.820948795955908E+00
1175	3.604078431372549E+01	1.902159844040424E+00
1185	3.373176470588236E+01	1.840218632013639E+00
1195	3.594039215686274E+01	1.899508748892813E+00
1205	3.202509803921568E+01	1.793061255478388E+00
1215	3.272784313725490E+01	1.812627585030806E+00
1225	3.322980392156862E+01	1.826475208649814E+00
1235	3.343058823529412E+01	1.831984950301581E+00
1245	3.473568627450980E+01	1.867402063082745E+00
1255	3.242666666666667E+01	1.804267997426088E+00
1265	3.393254901960784E+01	1.845687347285357E+00
1275	3.594039215686274E+01	1.899508748892813E+00
1285	3.202509803921568E+01	1.793061255478388E+00
1295	3.232627450980392E+01	1.801472847804372E+00
1305	3.142274509803921E+01	1.776118564437748E+00
1315	3.774745098039216E+01	1.946676146664440E+00
1325	2.901333333333333E+01	1.706666666666667E+00
1335	3.122196078431373E+01	1.770434970458192E+00
1345	3.363137254901961E+01	1.837478170877302E+00
1355	3.162352941176471E+01	1.781784028792355E+00
1365	3.312941176470589E+01	1.823714095644607E+00
1375	2.941490196078431E+01	1.718436921085359E+00
1385	3.302901960784314E+01	1.820948795955908E+00
1395	3.122196078431373E+01	1.770434970458192E+00
1405	2.971607843137255E+01	1.727211975186598E+00
1415	3.714509803921569E+01	1.931081694034456E+00
1425	3.483607843137255E+01	1.870098673964891E+00
1435	3.483607843137255E+01	1.870098673964891E+00
1445	3.393254901960784E+01	1.845687347285357E+00
1455	3.453490196078431E+01	1.861997125370118E+00
1465	3.594039215686274E+01	1.899508748892813E+00
1475	3.513725490196079E+01	1.878165276498292E+00
1485	3.503686274509804E+01	1.875480264008223E+00
1495	2.800941176470588E+01	1.676879619864101E+00
1505	3.674352941176470E+01	1.920615049508040E+00
1515	3.112156862745098E+01	1.767586320229297E+00
1525	3.102117647058823E+01	1.764733071685968E+00
1535	3.202509803921568E+01	1.793061255478388E+00
1545	3.322980392156862E+01	1.826475208649814E+00
1555	3.363137254901961E+01	1.837478170877302E+00
1565	3.132235294117647E+01	1.773279044533278E+00
1575	3.132235294117647E+01	1.773279044533278E+00
1585	3.413333333333333E+01	1.851139906719199E+00
1595	3.714509803921569E+01	1.931081694034456E+00
1605	3.182431372549020E+01	1.787431535913648E+00
1615	3.182431372549020E+01	1.787431535913648E+00
1625	3.252705882352941E+01	1.807058823529412E+00
1635	3.433411764705883E+01	1.856576452658892E+00
1645	3.202509803921568E+01	1.793061255478388E+00
1655	3.403294117647059E+01	1.848415637536323E+00
