TIME_SINCE_START	COUNT_RATE	ERR
1085	3.762643029814666E+01	2.034604331680977E+00
1095	2.861176470588235E+01	1.694814671423662E+00
1105	3.122196078431373E+01	1.770434970458192E+00
1115	3.222588235294118E+01	1.798673354507938E+00
1125	3.312941176470589E+01	1.823714095644607E+00
1135	3.312941176470589E+01	1.823714095644607E+00
1145	3.312941176470589E+01	1.823714095644607E+00
1155	3.162352941176471E+01	1.781784028792355E+00
1165	3.202509803921568E+01	1.793061255478388E+00
1175	3.252705882352941E+01	1.807058823529412E+00
1185	3.363137254901961E+01	1.837478170877302E+00
1195	2.991686274509804E+01	1.733037327222670E+00
1205	3.553882352941176E+01	1.888867159564728E+00
1215	3.413333333333333E+01	1.851139906719199E+00
1225	3.001725490196078E+01	1.735942672644074E+00
1235	3.493647058823530E+01	1.872791402031950E+00
1245	3.343058823529412E+01	1.831984950301581E+00
1255	3.082039215686275E+01	1.759012690114282E+00
1265	3.423372549019608E+01	1.853860172561005E+00
1275	3.453490196078431E+01	1.861997125370118E+00
1285	3.272784313725490E+01	1.812627585030806E+00
1295	3.594039215686274E+01	1.899508748892813E+00
1305	3.122196078431373E+01	1.770434970458192E+00
1315	3.122196078431373E+01	1.770434970458192E+00
1325	3.242666666666667E+01	1.804267997426088E+00
1335	3.413333333333333E+01	1.851139906719199E+00
1345	3.363137254901961E+01	1.837478170877302E+00
1355	3.122196078431373E+01	1.770434970458192E+00
1365	3.383215686274510E+01	1.842955018108067E+00
1375	3.262745098039215E+01	1.809845346115257E+00
1385	3.473568627450980E+01	1.867402063082745E+00
1395	3.563921568627451E+01	1.891533169585370E+00
1405	3.051921568627451E+01	1.750397065955157E+00
1415	3.463529411764706E+01	1.864701552540281E+00
1425	3.343058823529412E+01	1.831984950301581E+00
1435	3.031843137254902E+01	1.744629679383368E+00
1445	3.182431372549020E+01	1.787431535913648E+00
1455	3.122196078431373E+01	1.770434970458192E+00
1465	3.192470588235294E+01	1.790248608640201E+00
1475	2.991686274509804E+01	1.733037327222670E+00
1485	3.182431372549020E+01	1.787431535913648E+00
1495	3.704470588235294E+01	1.928470358568011E+00
1505	3.654274509803921E+01	1.915360278923436E+00
1515	3.563921568627451E+01	1.891533169585370E+00
1525	3.363137254901961E+01	1.837478170877302E+00
1535	3.051921568627451E+01	1.750397065955157E+00
1545	3.212549019607843E+01	1.795869497223361E+00
1555	3.553882352941176E+01	1.888867159564728E+00
1565	4.246588235294118E+01	2.064761856120785E+00
1575	2.749741176470588E+02	5.254069351656719E+00
1585	4.166274509803922E+01	2.045143721408087E+00
1595	3.634196078431373E+01	1.910091052216766E+00
1605	3.222588235294118E+01	1.798673354507938E+00
1615	2.911372549019608E+01	1.709616827324376E+00
1625	2.911372549019608E+01	1.709616827324376E+00
1635	2.991686274509804E+01	1.733037327222670E+00
1645	2.549960784313726E+01	1.599987696992299E+00
1655	3.072000000000000E+01	1.756145511859290E+00
1665	2.951529411764706E+01	1.721366909438218E+00
1675	2.971607843137255E+01	1.727211975186598E+00
1685	2.660392156862745E+01	1.634265910824127E+00
1695	3.051921568627451E+01	1.750397065955157E+00
1705	2.660392156862745E+01	1.634265910824127E+00
1715	2.700549019607843E+01	1.646553797456989E+00
1725	2.670431372549019E+01	1.637346527904636E+00
1735	2.560000000000000E+01	1.603134185177983E+00
1745	2.911372549019608E+01	1.709616827324376E+00
1755	3.011764705882353E+01	1.738843163676991E+00
1765	2.991686274509804E+01	1.733037327222670E+00
1775	3.001725490196078E+01	1.735942672644074E+00
1785	2.821019607843137E+01	1.682879208331566E+00
1795	2.439529411764706E+01	1.564958847309291E+00
1805	2.489725490196079E+01	1.580977267252567E+00
1815	2.329098039215686E+01	1.529127776549930E+00
